source,target,program,diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,behaviour_score,correct
c,c++,gcd,9,0,0,1,0.752,1.0,1.0,0.0,0
c,python,nested_loop,22,0,1,0,0.684,0.875,0.85,0.0,0
c,java,nested_loop,26,0,0,1,0.508,0.833,0.827,0.0,0
c,c++,nested_loop,8,0,1,0,0.24,1.0,1.0,100.0,1
c,python,absolute_value,24,0,1,0,0.756,0.875,0.7,0.0,0
c,java,absolute_value,29,0,0,1,0.17,0.95,0.76,0.0,0
c,c++,absolute_value,9,0,1,0,0.139,1.0,1.0,100.0,1
c,python,power_function,28,0,1,0,0.034,0.821,0.807,0.0,0
c,java,power_function,33,0,0,1,0.462,0.944,0.876,0.0,0
c,c++,power_function,9,0,0,1,0.781,1.0,1.0,0.0,0
c,python,sum_to_n,19,0,1,0,0.701,0.875,0.9,0.0,0
c,java,sum_to_n,24,0,0,1,0.366,0.85,0.83,0.0,0
c,c++,sum_to_n,8,0,1,0,0.768,1.0,1.0,100.0,1
c++,python,sum_two,13,0,1,0,0.441,0.875,0.7,0.0,0
c++,java,sum_two,19,0,0,1,0.076,0.917,0.733,0.0,0
c++,c,sum_two,10,0,1,0,0.662,1.0,1.0,100.0,1
c++,python,square_function,19,0,1,0,0.6,0.875,0.7,0.0,0
c++,java,square_function,25,0,0,1,0.017,0.95,0.76,0.0,0
c++,c,square_function,9,0,1,0,0.756,1.0,1.0,100.0,1
c++,python,factorial,19,0,1,0,0.609,0.812,0.85,0.0,0
c++,java,factorial,24,0,0,1,0.341,0.95,0.91,0.0,0
c++,c,factorial,8,0,1,0,0.813,1.0,1.0,100.0,1
c++,python,grade_branches,23,0,1,0,0.576,0.75,0.6,0.0,0
c++,java,grade_branches,28,0,0,1,0.229,0.917,0.733,0.0,0
c++,c,grade_branches,16,0,0,1,0.45,0.917,0.933,0.0,0
c++,python,while_countdown,19,0,1,0,0.578,0.875,0.8,0.0,0
c++,java,while_countdown,24,0,0,1,0.186,0.917,0.833,0.0,0
c++,c,while_countdown,10,0,1,0,0.714,1.0,1.0,100.0,1
c++,python,gcd,29,0,1,0,0.647,0.833,0.827,0.0,0
c++,java,gcd,34,0,0,1,0.338,0.964,0.931,0.0,0
c++,c,gcd,11,0,1,0,0.676,1.0,1.0,100.0,1
c++,python,nested_loop,22,0,1,0,0.591,0.8,0.79,0.0,0
c++,java,nested_loop,26,0,0,1,0.022,0.958,0.927,0.0,0
c++,c,nested_loop,8,0,1,0,0.067,1.0,1.0,100.0,1
c++,python,absolute_value,24,0,1,0,0.653,0.875,0.7,0.0,0
c++,java,absolute_value,29,0,0,1,0.021,0.95,0.76,0.0,0
c++,c,absolute_value,9,0,1,0,0.807,1.0,1.0,100.0,1
c++,python,power_function,27,0,1,0,0.654,0.821,0.857,0.0,0
c++,java,power_function,32,0,0,1,0.452,0.969,0.925,0.0,0
c++,c,power_function,11,0,1,0,0.777,1.0,1.0,100.0,1
c++,python,sum_to_n,19,0,1,0,0.582,0.812,0.85,0.0,0
c++,java,sum_to_n,24,0,0,1,0.313,0.95,0.91,0.0,0
c++,c,sum_to_n,8,0,1,0,0.802,1.0,1.0,100.0,1
